name,county,notes,state,type,lon,lat,image,popularity,popularity_num,real_address
Blue Springs State Park,Barbour county,"Near Clio; swimming in natural spring, camping, picnicking",Alabama,state_park,-85.50953009999999,31.6643994,NA,NA,NA,"2563 AL-10, Clio, AL 36017, USA"
Buck's Pocket State Park,DeKalb county,"Near Grove Oak; scenic vistas, camping, hiking and equestrian trails",Alabama,state_park,-86.05387069999999,34.4747854,NA,NA,NA,"Co Rd 174, Grove Oak, AL 35975, USA"
Cathedral Caverns State Park,Marshall county,"Located in Grant; cave tours, tent camping",Alabama,state_park,-86.22156609999999,34.5736709,NA,NA,NA,"637 Cave Rd, Woodville, AL 35776, USA"
Cheaha State Park,Clay county,"State's highest point; scenic views, hiking, camping",Alabama,state_park,-85.8138687,33.4702859,NA,NA,NA,"19644 AL-281, Delta, AL 36258, USA"
Chewacla State Park,Lee county,"Located in Auburn; fishing, swimming, non-motorized boating, hiking, camping, cabins",Alabama,state_park,-85.4796755,32.554052,NA,NA,NA,"Murphy Dr, Auburn, AL 36830, USA"
DeSoto State Park,Cherokee county,"Located on Lookout Mountain; camping, lodging, picnicking, hiking and biking trails",Alabama,state_park,-85.6234968,34.5001215,NA,NA,NA,"Unnamed Road, Fort Payne, AL 35967, USA"
Frank Jackson State Park,Covington county,"Boating, fishing, swimming, picnicking, camping",Alabama,state_park,-86.27456790000001,31.2967306,NA,NA,NA,"Unnamed Road, Opp, AL 36467, USA"
Gulf State Park,Baldwin county,"Fresh and saltwater fishing and swimming, 18-hole golf course, camping",Alabama,state_park,-87.6488373,30.2625208,NA,NA,NA,"State Park Rd 2, Orange Beach, AL 36561, USA"
Joe Wheeler State Park,Lauderdale county,"Near Rogersville; lodge, campground, marina, hiking and biking trail, 18-hole golf course",Alabama,state_park,-87.3455753,34.8172997,NA,NA,NA,"Lauderdale County 572, Rogersville, AL 35652, USA"
Lake Guntersville State Park,Marshall county,"Resort complex, cottages, campground, 18-hole golf course, hiking, fishing",Alabama,state_park,-86.2050287,34.3952794,NA,NA,NA,"1155 Lodge Dr, Guntersville, AL 35976, USA"
Lake Lurleen State Park,Tuscaloosa county,"Boating, fishing, swimming, hiking, biking",Alabama,state_park,-87.67471379999999,33.3018923,NA,NA,NA,"13226 Lake Lurleen Rd, Coker, AL 35452, USA"
Lakepoint Resort State Park,Barbour county,"Convention center, 18-hole golf course, lodge, campground, cabins, cottages, marina, hiking, picnicking",Alabama,state_park,-85.1082326,31.9867511,NA,NA,NA,"104-108 Old Hwy 165, Eufaula, AL 36027, USA"
Meaher State Park,Baldwin county,"Nature trails with wetlands boardwalk through the wetlands, boat ramp, fishing pier, picnicking, camping",Alabama,state_park,-87.9343311,30.6683236,NA,NA,NA,"5395 Battleship Pkwy, Spanish Fort, AL 36527, USA"
Monte Sano State Park,Madison county,"Located in Huntsville; picnicking, hiking, cabins, campground",Alabama,state_park,-86.5118155,34.7399425,NA,NA,NA,"Fire Tower Trail, Huntsville, AL 35801, USA"
Oak Mountain State Park,Shelby county,"Alabama Wildlife Center; golf, swimming, hiking, mountain biking, horseback riding, camping, fishing, hunting",Alabama,state_park,-86.7575312,33.3241097,NA,NA,NA,"Peavine Trail, Pelham, AL 35124, USA"
Rickwood Caverns State Park,Blount county,"Cave tours, swimming, picnicking, hiking, camping",Alabama,state_park,-86.862025,33.87492100000001,NA,NA,NA,"321-411 Rickwood Park Rd, Warrior, AL 35180, USA"
Wind Creek State Park,Tallapoosa county,"Camping, swimming, boating, fishing, picnicking, hiking, biking",Alabama,state_park,-85.9465941,32.8567977,NA,NA,NA,"4325 AL-128, Alexander City, AL 35010, USA"
Chugach State Park,Anchorage county,NA,Alaska,state_park,-149.7976845,61.0532994,NA,NA,NA,"18621 Seward Hwy, Anchorage, AK 99516, USA"
Dry Creek State Recreation Site,,NA,Alaska,state_park,-145.4718969,62.152667,NA,NA,NA,"Dry Creek State Recreation Site Rd, Glennallen, AK 99588, USA"
Lake Louise,Anchorage county,NA,Alaska,state_park,-146.55111110000001,62.28138889999999,NA,NA,NA,"Lake Louise Rd, Glennallen, AK 99588, USA"
Liberty Falls State Recreation Site,,NA,Alaska,state_park,-144.5463123,61.62168260000001,NA,NA,NA,"Liberty Falls State Recreation Site Rd, Chitina, AK 99566, USA"
Porcupine Creek State Recreation Site,,NA,Alaska,state_park,-149.6588889,60.9305556,NA,NA,NA,"Hope Hwy, Hope, AK 99605, USA"
Squirrel Creek State Recreation Site,,NA,Alaska,state_park,-145.1704854,61.6654247,NA,NA,NA,"150 Richardson Hwy, Copper Center, AK 99573, USA"
Birch Lake State Recreation Site,Fairbanks North Star county,NA,Alaska,state_park,-146.6666519,64.3048462,NA,NA,NA,"Birch Lake Pull Off, Salcha, AK 99714, USA"
Chena River State Recreation Area,Fairbanks North Star county,NA,Alaska,state_park,-146.2741182,64.8473212,NA,NA,NA,"Tractor Trail, Fairbanks, AK 99712, USA"
Chena River State Recreation Site,Fairbanks North Star county,NA,Alaska,state_park,-146.2741182,64.8473212,NA,NA,NA,"Tractor Trail, Fairbanks, AK 99712, USA"
Harding Lake State Recreation Area,,NA,Alaska,state_park,-146.8688268,64.4409776,NA,NA,NA,"9555 Coolidge St, Salcha, AK 99714, USA"
Lower Chatanika River State Recreation Area,,NA,Alaska,state_park,-146.5697745,65.2724449,NA,NA,NA,"2668 Steese Hwy, Fairbanks, AK 99712, USA"
Salcha River State Recreation Site,,NA,Alaska,state_park,-146.9223503,64.4705208,NA,NA,NA,"7068 Uphues Dr, Salcha, AK 99714, USA"
Upper Chatanika River State Recreation Site,,NA,Alaska,state_park,-146.5697745,65.2724449,NA,NA,NA,"2668 Steese Hwy, Fairbanks, AK 99712, USA"
Rika's Landing Roadhouse,,NA,Alaska,state_park,-145.8434819,64.1528651,NA,NA,NA,"272 Richardson Hwy, Delta Junction, AK 99737, USA"
Clearwater State Recreation Site,,NA,Alaska,state_park,-145.4332771,64.053927,NA,NA,NA,"6915-6975 Clearwater Campground Rd, Delta Junction, AK 99737, USA"
Delta State Recreation Site,,NA,Alaska,state_park,-145.4332771,64.053927,NA,NA,NA,"6915-6975 Clearwater Campground Rd, Delta Junction, AK 99737, USA"
Donnelly Creek State Recreation Site,,NA,Alaska,state_park,NA,NA,NA,NA,NA,NA
Fielding Lake State Recreation Area,,NA,Alaska,state_park,-145.6819225,63.1705645,NA,NA,NA,"Richardson Hwy, Delta Junction, AK 99737, USA"
